slug,score,impressions,clicks,priority
san-diego-payment-processing,90,120,8,money
san-diego-ai-consulting,84,90,5,money
san-diego-hvac-help,77,65,3,cluster
encinitas-payment-processing,61,34,1,cluster
carlsbad-business-automation,58,29,1,cluster
