page_type,slug,title,parent_hub,vertical,locality,intent,notes
hub,machine-to-machine-payments,machine-to-machine-payments,machine-to-machine-payments.html,payments,global,authority,manual hub
problem,what-is-payments,What is payments,machine-to-machine-payments.html,payments,global,long-tail,definition page
problem,how-does-payments-work,How payments Works,machine-to-machine-payments.html,payments,global,long-tail,explanation
comparison,payments-vs-traditional,payments vs traditional,machine-to-machine-payments.html,payments,global,decision,comparison
local,payments-san-diego,payments in san-diego,machine-to-machine-payments.html,payments,san-diego,local,local intent
