cluster,pages,words,links,total_score,avg_score
local-services,21250,48467672,362251,139030422,6542.61
ai-automation,15434,38805049,313140,117090049,7586.5
general,6011,17284599,318941,97019849,16140.38
payments,3229,8115587,65475,24484337,7582.64
software,2427,6841949,50449,19454199,8015.74
hvac,897,2535751,16730,6718251,7489.69
future-infra,356,1711221,12932,4944221,13888.26
plumbing,484,1434160,7718,3363660,6949.71
electrical,480,1366194,7488,3238194,6746.24
