suggested_page,cluster,intent,geo,reason
hvac-decision.html,hvac,decision,non-geo,Detected repeated hvac + decision demand
payments-call-san-diego.html,payments,call,san diego,Detected repeated payments + call demand
payments-call.html,payments,call,non-geo,Detected repeated payments + call demand
