suggested_page,cluster,intent,geo,reason
ai-automation-call-san-diego.html,ai-automation,call,san diego,Detected repeated ai-automation + call demand
ai-automation-call.html,ai-automation,call,non-geo,Detected repeated ai-automation + call demand
home-services-decision-san-diego.html,home-services,decision,san diego,Detected repeated home-services + decision demand
it-support-call-san-diego.html,it-support,call,san diego,Detected repeated it-support + call demand
it-support-call.html,it-support,call,non-geo,Detected repeated it-support + call demand
landscaping-call.html,landscaping,call,non-geo,Detected repeated landscaping + call demand
