cluster	pillar	hits	existing_pages	expansion_rec	hub_url
ai-cost	ai-automation	6	5421	HUB AUTHORITY UPGRADE + 40–50 new leaf pages	/auto-hubs/clusters/ai-automation--ai-cost.html
ai-city-pages	ai-automation	4	1268	Hub update + 20–30 new leaf pages	/auto-hubs/clusters/ai-automation--ai-city-pages.html
ai-agent-workflows	ai-automation	1	446	3–8 new leaf pages	/auto-hubs/clusters/ai-automation--ai-agent-workflows.html
ai-scheduling	ai-automation	1	1201	3–8 new leaf pages	/auto-hubs/clusters/ai-automation--ai-scheduling.html
