city,service,intent,vertical
san-diego,hvac-help,decision,hvac
san-diego,ac-repair-options,comparison,hvac
encinitas,hvac-quote-help,local,hvac
carlsbad,mini-split-help,decision,hvac
oceanside,air-conditioning-help,local,hvac
