industry,weight
healthcare,10
legal,9
finance,9
cybersecurity,10
medical-device-software,10
energy,9
solar,9
real-estate,8
construction,8
hvac,8
plumbing,7
electrical,7
hospitality,7
restaurants,6
ecommerce,8
manufacturing,8
logistics,8
property-management,7
insurance,8
automotive,7
